ident,latitude_deg,longitude_deg,name,continent,iso_country
BGAA,68.721802,-52.784698,Aasiaat Airport,NA,GL
BGBW,61.1605,-45.425999,Narsarsuaq Airport,NA,GL
BGCO,70.743103,-22.650499,Neerlerit Inaat Airport,NA,GL
BGDH,76.76667,-18.666668,Danmarkshavn Landing Strip,NA,GL
BGGH,64.191066,-51.67914,Nuuk Airport,NA,GL
BGJN,69.243202,-51.057098,Ilulissat Airport,NA,GL
BGKK,65.573601,-37.1236,Kulusuk Airport,NA,GL
BGMI,81.601292,-16.679306,Station Nord Landing Strip,NA,GL
BGMQ,65.412498,-52.9394,Maniitsoq Airport,NA,GL
BGMV,72.2369,-23.9319,Mestersvig Airport,NA,GL
BGPT,62.014736,-49.670937,Paamiut Airport,NA,GL
BGQQ,77.488602,-69.388702,Qaanaaq Airport,NA,GL
BGSF,67.010446,-50.715294,Kangerlussuaq Airport,NA,GL
BGSS,66.951302,-53.729301,Sisimiut Airport,NA,GL
BGTL,76.531197,-68.703201,Pituffik Space Base,NA,GL
BGUK,72.790199,-56.1306,Upernavik Airport,NA,GL
BGUQ,70.7342,-52.696201,Qaarsut Airport,NA,GL
BIAE,65.90470123291016,-22.363300323486328,Arngerðareyri Airport,EU,IS
BIAL,63.53979,-18.44374,Álftaver Airport,EU,IS
BIAR,65.656573,-18.072018,Akureyri Airport,EU,IS
BIBA,63.556099,-20.137501,Bakki Airport,EU,IS
BIBD,65.641296,-23.5462,Bildudalur Airport,EU,IS
BIBF,65.516769,-13.81578,Borgarfjörður eystri Airport,EU,IS
BIBI,66.097838,-22.569713,Baeir Airport,EU,IS
BIBK,66.02189636230469,-14.824399948120115,Bakkafjörður Airport,EU,IS
BIBL,65.644997,-20.2875,Blönduós Airport,EU,IS
BIBR,65.074583,-21.802193,Búðardalur Airport,EU,IS
BIBV,64.790037,-14.043927,Breiðdalsvík Airport,EU,IS
BIDA,64.744617,-23.726521,Dagverðará Airport,EU,IS
BIDV,64.642372,-14.277297,Djúpivogur Airport,EU,IS
BIEG,65.2833023071289,-14.401399612426758,Egilsstaðir Airport,EU,IS
BIFF,64.931456,-14.047957,Fáskrúðsfjörður Airport,EU,IS
BIFL,64.1427993774414,-20.326099395751957,Flúðir Airport,EU,IS
BIFM,63.874699,-16.6411,Fagurhólsmýri Airport,EU,IS
BIFZ,63.84816,-20.716267,Forsæti Airport,EU,IS
BIGF,64.991402,-23.224701,Grundarfjörður Airport,EU,IS
